IIP ID,Language,Region,Material,Text_Genre,City,Religion,Time
idum0638,Aramaic,Negev,clay,legal/economic,Other,jewish,-344.0
idum0632,Aramaic,Negev,clay,legal/economic,Other,jewish,-362.0
idum0645,Aramaic,Negev,clay,legal/economic,Other,jewish,-353.0
idum0643,Aramaic,Negev,clay,legal/economic,Other,jewish,-362.0
idum0640,Aramaic,Negev,clay,legal/economic,Other,jewish,-359.0
idum0644,Aramaic,Negev,clay,legal/economic,Other,jewish,-361.0
idum0647,Aramaic,Negev,clay,legal/economic,Other,jewish,-347.0
idum0648,Aramaic,Negev,clay,legal/economic,Other,jewish,-344.0
idum0642,Aramaic,Negev,clay,legal/economic,Other,jewish,-346.0
idum0649,Aramaic,Negev,clay,legal/economic,Other,jewish,-336.0
idum0650,Aramaic,Negev,clay,legal/economic,Other,jewish,-336.0
idum0653,Aramaic,Negev,clay,legal/economic,Other,jewish,-344.0
idum0652,Aramaic,Negev,clay,legal/economic,Other,jewish,-356.0
idum0666,Aramaic,Negev,clay,legal/economic,Other,jewish,-363.0
idum0661,Aramaic,Negev,clay,legal/economic,Other,jewish,-357.0
idum0660,Aramaic,Negev,clay,legal/economic,Other,jewish,-359.0
idum0673,Aramaic,Negev,clay,legal/economic,Other,jewish,-358.0
idum0672,Aramaic,Negev,clay,legal/economic,Other,jewish,-317.0
idum0668,Aramaic,Negev,clay,legal/economic,Other,jewish,-317.0
idum0671,Aramaic,Negev,clay,legal/economic,Other,jewish,-317.0
idum0670,Aramaic,Negev,clay,legal/economic,Other,jewish,-356.0
idum0678,Aramaic,Negev,clay,legal/economic,Other,jewish,-315.0
idum0676,Aramaic,Negev,clay,legal/economic,Other,jewish,-349.0
idum0677,Aramaic,Negev,clay,legal/economic,Other,jewish,-336.0
idum0682,Aramaic,Negev,clay,legal/economic,Other,jewish,-349.0
irab0001,Greek,Galilee,Other,dedicatory,Other,christian,445.0
jaba0002,Greek,Coastal Plain,material_unknown,dedicatory,Other,christian,732.0
jaba0001,Greek,Coastal Plain,material_unknown,dedicatory,Other,christian,530.0
jaff0086,Greek,Coastal Plain,marble,dedicatory,Other,other_religion,-217.0
jaff0098,Greek,Coastal Plain,clay,label,Other,other_religion,-125.0
jera0010,Greek,Jordan,material_unknown,dedicatory,Other,christian,553.0
jera0007,Latin,Jordan,stone,dedicatory,Other,unknown,130.0
jera0006,Latin,Jordan,stone,dedicatory,Other,unknown,119.0
jeru0497,Latin,Judaea,limestone,dedicatory,Jerusalem,other_religion,138.0
jmon0006,Aramaic,Other,stone,other/unkown,Other,other_religion,219.0
kelm0001,Greek,Judaea,Other,dedicatory,Other,christian,490.0
kiss0001,Greek,Negev,material_unknown,dedicatory,Other,christian,576.0
kiss0002,Greek,Negev,Other,dedicatory,Other,christian,578.0
mare0010,Greek,Judaea,clay,label,Other,other_religion,-145.0
mare0227,Greek,Judaea,limestone,other/unkown,Other,other_religion,-178.0
zoor0463,Aramaic,Negev,stone,funerary,Other,jewish,429.0
hesh0005,Greek,Other,stone,dedicatory,Other,christian,512.0
hesh0001,Greek,Galilee,stone,dedicatory,Other,christian,519.0
hesh0002,Greek,Galilee,stone,other/unkown,Other,christian,512.0
hesh0003,Greek,Galilee,stone,other/unkown,Other,christian,512.0
hesh0004,Greek,Galilee,stone,other/unkown,Other,christian,512.0
